dataset,model,run,mean,rmse,nll_default,nll_mean,train_time,total_time
airfoil,bde,0,-0.010117994621396065,0.11884656548500061,-0.9070118069648743,-0.7109833359718323,245.98227163706906,246.88053733413108
airfoil,bde,1,-0.005831203423440456,0.1269150674343109,-0.8928629755973816,-0.6452986598014832,241.41947719594464,242.3675098179374
airfoil,bde,2,-0.008141325786709785,0.12493520975112915,-0.9156345725059509,-0.6610214114189148,234.9069004119374,235.876792244846
airfoil,bde,3,-0.007826391607522964,0.11680107563734055,-0.9254748225212097,-0.7283443808555603,235.99797338084318,237.03835027688183
airfoil,bde,4,-0.010729591362178326,0.1203489750623703,-0.9222137331962585,-0.698421061038971,241.1082674539648,242.21915963292122
