dataset,model,run,rmse,nll,runtime_s
concrete,rf,0,0.33296645026585486,0.3192249891749742,1.5182236030232161
concrete,rf,1,0.33343122672238484,0.3206198815881384,1.2841071242000908
concrete,rf,2,0.33018704220613737,0.3108425426797449,1.3853274041321129
concrete,rf,3,0.33044757567559063,0.31163127967870885,1.337972248904407
concrete,rf,4,0.3321985193122953,0.3169159941741427,1.4524739261250943
concrete,linear,0,0.5812429189682007,0.8763520317203431,0.002521391026675701
concrete,linear,1,0.5812429189682007,0.8763520317203431,0.0010502149816602468
concrete,linear,2,0.5812429189682007,0.8763520317203431,0.0009377941023558378
concrete,linear,3,0.5812429189682007,0.8763520317203431,0.0009435040410608053
concrete,linear,4,0.5812429189682007,0.8763520317203431,0.0009755839128047228
concrete,xgb,0,0.2757066488265991,0.13052070983200564,16.003687276970595
concrete,xgb,1,0.2757066488265991,0.13052070983200564,59.61169098201208
concrete,xgb,2,0.2757066488265991,0.13052070983200564,95.26989531191066
concrete,xgb,3,0.2757066488265991,0.13052070983200564,79.39863018179312
concrete,xgb,4,0.2757066488265991,0.13052070983200564,88.67296763812192
concrete,catboost,0,0.23209510337392994,-0.04166952977291518,1.5330149559304118
concrete,catboost,1,0.23288728245111173,-0.038262175568675956,1.391411409014836
concrete,catboost,2,0.23332963844782237,-0.03636453475116615,1.3542584299575537
concrete,catboost,3,0.23432974089917358,-0.03208747319691556,1.3244013218209147
concrete,catboost,4,0.23583968444483375,-0.02566447478267204,1.3463750160299242
concrete,tabpfn,0,0.2613888382911682,0.07719231161219456,14.001133125973865
concrete,tabpfn,1,0.2613888382911682,0.07719231161219456,10.883039779029787
concrete,tabpfn,2,0.2613888382911682,0.07719231161219456,11.677916462998837
concrete,tabpfn,3,0.2613888382911682,0.07719231161219456,13.362845596158877
concrete,tabpfn,4,0.2613888382911682,0.07719231161219456,14.320983418961987
concrete,bde,0,0.22542858123779297,-0.41677942872047424,169.60527539998293
concrete,bde,1,0.24355852603912354,-0.39807388186454773,177.33539459994063
concrete,bde,2,0.22335563600063324,-0.3891494870185852,191.49210229993332
concrete,bde,3,0.23845204710960388,-0.39160096645355225,202.69747809995897
concrete,bde,4,0.23683130741119385,-0.4438285529613495,234.05201539990958
