dataset,model,run,rmse,nll,runtime_s
bikesharing,catboost,0,0.2260586536088856,-0.06802225093421,2.253581956960261
bikesharing,catboost,1,0.2263404363749589,-0.06677652427935143,2.216296924976632
bikesharing,catboost,2,0.2259349049516231,-0.06856981918163631,2.193153520813212
bikesharing,catboost,3,0.2282043618447645,-0.058575194400853695,2.2018421799875796
bikesharing,catboost,4,0.227840890757265,-0.06016920798782572,2.204207973089069
bikesharing,linear,0,0.7796253561973572,1.1699968084456829,0.0061153220012784
bikesharing,linear,1,0.7796253561973572,1.1699968084456829,0.0036938749253749847
bikesharing,linear,2,0.7796253561973572,1.1699968084456829,0.0035759590100497007
bikesharing,linear,3,0.7796253561973572,1.1699968084456829,0.0035681920126080513
bikesharing,linear,4,0.7796253561973572,1.1699968084456829,0.0035445350222289562
