dataset,model,run,mean,rmse,nll_default,nll_mean,train_time,total_time
airfoil,linear,0,-0.009998521767556667,0.659863293170929,,1.0032159996410928,0.001485344022512436,0.0016024750657379627
airfoil,linear,1,-0.009998521767556667,0.659863293170929,,1.0032159996410928,0.0006866620387881994,0.0007788729853928089
airfoil,linear,2,-0.009998521767556667,0.659863293170929,,1.0032159996410928,0.000650912057608366,0.0007389520760625601
airfoil,linear,3,-0.009998521767556667,0.659863293170929,,1.0032159996410928,0.0006390721537172794,0.00072849215939641
airfoil,linear,4,-0.009998521767556667,0.659863293170929,,1.0032159996410928,0.0006359820254147053,0.0007249531336128712
airfoil,rf,0,0.011853664277117945,0.2544933528027385,,0.05045797121872831,1.3039291098248214,1.4709240209776908
airfoil,rf,1,0.009116618519598146,0.2559163810401587,,0.05603400878287709,1.2940530101768672,1.4494194160215557
airfoil,rf,2,0.01242098793930312,0.25602767636833573,,0.05646880367235674,1.3214776718523353,1.4781279319431633
airfoil,rf,3,0.011190216054624634,0.25849669271275005,,0.06606615394120471,1.2983535639941692,1.4514575928915292
airfoil,rf,4,0.012093168633798251,0.25553704249874065,,0.05455063378324793,1.3058815361000597,1.455312144011259
airfoil,xgb,0,0.007230207324028015,0.19824360311031342,,-0.19932021979574635,1.241047282004729,1.2483883940149099
airfoil,xgb,1,0.0015266393311321735,0.19905748963356018,,-0.19522303453149636,1.2918711639940739,1.2987741949036717
airfoil,xgb,2,0.0042714583687484264,0.20522750914096832,,-0.1646975926758045,1.21611137711443,1.2224713061004877
airfoil,xgb,3,0.0035116379149258137,0.19906893372535706,,-0.19516556994154577,1.2278899820521474,1.2342067211866379
airfoil,xgb,4,0.005497745703905821,0.21102119982242584,,-0.13685812613718046,1.2233555389102548,1.2299344579223543
airfoil,catboost,0,0.010759837269776905,0.23749679627182516,0.06790911939920885,-0.018662611775539843,0.8736406199168414,0.8840777811128646
airfoil,catboost,1,0.0064562799236189015,0.2422734062326306,0.34788295684401865,0.0012501204813226276,0.8477452718652785,0.8591496259905398
airfoil,catboost,2,0.009768663993277138,0.24268972307194847,0.10717876635007711,0.0029670218968235506,0.8265031590126455,0.8370483799371868
airfoil,catboost,3,0.010005044091274055,0.24030065775106596,-0.011460093071649621,-0.006925865830855663,0.8095783081371337,0.8204943211749196
airfoil,catboost,4,0.010873036793443015,0.2339988291543475,0.22843210377459636,-0.033500634046180554,0.824631123105064,0.8364380579441786
airfoil,tabpfn,0,-0.011700913310050964,0.13641777634620667,-0.9239223003387451,-0.5730946784630438,0.3715967941097915,10.706044684164226
airfoil,tabpfn,1,-0.011181454174220562,0.1383277177810669,-0.9133099913597107,-0.559191149954248,0.2981271839234978,8.945475484943017
airfoil,tabpfn,2,-0.008120129816234112,0.13858704268932343,-0.9284428954124451,-0.5573181476905428,0.32029291009530425,8.97206766414456
airfoil,tabpfn,3,-0.013410547748208046,0.13209764659404755,-0.9388854503631592,-0.6052753195231536,0.3217450848314911,9.099167946027592
airfoil,tabpfn,4,-0.009208080358803272,0.13413162529468536,-0.9645872116088867,-0.5899951770744359,0.29980636900290847,8.852680316893384
