dataset,model,run,mean,rmse,nll_default,nll_mean,train_time,total_time
bikesharing,bde,0,0.005566676612943411,0.22527799010276794,-0.7217268347740173,-0.07148157805204391,2594.495312867919,2595.9487705889624
bikesharing,bde,1,0.005595868919044733,0.2260684072971344,-0.7199788093566895,-0.06797916442155838,2457.6330163499806,2459.3201710970607
bikesharing,bde,2,0.006378664635121822,0.228903129696846,-0.7380159497261047,-0.05551791191101074,2350.322877335828,2352.0816884438973
bikesharing,bde,3,0.005825623404234648,0.22534260153770447,-0.7406354546546936,-0.07119478285312653,2765.2935911349487,2767.3871975759976
bikesharing,bde,4,0.005143576767295599,0.22492040693759918,-0.7373738884925842,-0.07307015359401703,2598.4911220339127,2600.6606759449933
