dataset,model,run,rmse,nll,runtime_s
bikesharing,catboost,0,0.2260586536088856,-0.06802225093421,2.253581956960261
bikesharing,catboost,1,0.2263404363749589,-0.06677652427935143,2.216296924976632
bikesharing,catboost,2,0.2259349049516231,-0.06856981918163631,2.193153520813212
bikesharing,catboost,3,0.2282043618447645,-0.058575194400853695,2.2018421799875796
bikesharing,catboost,4,0.227840890757265,-0.06016920798782572,2.204207973089069
bikesharing,linear,0,0.7796253561973572,1.1699968084456829,0.0061153220012784
bikesharing,linear,1,0.7796253561973572,1.1699968084456829,0.0036938749253749847
bikesharing,linear,2,0.7796253561973572,1.1699968084456829,0.0035759590100497007
bikesharing,linear,3,0.7796253561973572,1.1699968084456829,0.0035681920126080513
bikesharing,linear,4,0.7796253561973572,1.1699968084456829,0.0035445350222289562
bikesharing,rf,0,0.24442823761034946,0.010105013349801942,17.57602066290565
bikesharing,rf,1,0.2438892638527351,0.007897539831588857,17.435892395908013
bikesharing,rf,2,0.24469854293841772,0.011210270172100273,17.413711562985554
bikesharing,rf,3,0.24351049619808118,0.006343301352430932,17.395885804202408
bikesharing,rf,4,0.24382503383170642,0.007634147834655596,17.320510069839656
bikesharing,tabpfn,0,0.21183183789253235,-0.13302398719467232,664.8293545118067
bikesharing,tabpfn,1,0.21183183789253235,-0.13302398719467232,660.5582512689289
bikesharing,tabpfn,2,0.21183183789253235,-0.13302398719467232,651.3398274818901
bikesharing,tabpfn,3,0.21183183789253235,-0.13302398719467232,666.5038292058744
bikesharing,tabpfn,4,0.21183183789253235,-0.13302398719467232,1461.9264537820127
bikesharing,bde,0,0.2267860323190689,-0.7266726493835449,1906.766186045017
bikesharing,bde,1,0.2260320782661438,-0.7310654520988464,1959.0566080310382
bikesharing,bde,2,0.2284901887178421,-0.7223407626152039,1971.8749001529068
bikesharing,bde,3,0.2269061654806137,-0.7335807085037231,1878.870847597951
bikesharing,bde,4,0.2265956699848175,-0.7396920323371887,768.1056749990676
